,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
126,MKSI,"MKS Instruments, Inc.",,91.54 +3.78 (+4.31%),3.78,+4.31%,1.751M,1.011M,6.168B,32.58,-29.55%,
127,DUOL,"Duolingo, Inc.",,301.12 +12.31 (+4.26%),12.31,+4.26%,650946,805782,13.624B,160.17,23.42%,
128,SKYW,"SkyWest, Inc.",,90.45 +3.64 (+4.19%),3.64,+4.19%,450083,449372,3.648B,11.64,28.99%,
129,KTOS,"Kratos Defense & Security Solutions, Inc.",,32.56 +1.31 (+4.19%),1.31,+4.19%,3.086M,2.373M,4.977B,296.00,78.47%,
130,NFE,New Fortress Energy Inc.,,10.26 +0.41 (+4.16%),0.41,+4.16%,3.767M,5.109M,2.809B,-,-67.96%,
131,APGE,"Apogee Therapeutics, Inc.",,40.44 +1.61 (+4.15%),1.61,+4.15%,605220,582982,2.349B,-,-42.03%,
132,MTDR,Matador Resources Company,,52.62 +2.06 (+4.07%),2.06,+4.07%,1.746M,1.312M,6.588B,7.37,-25.31%,
133,RNA,"Avidity Biosciences, Inc.",,31.72 +1.24 (+4.07%),1.24,+4.07%,1.037M,1.34M,3.813B,-,25.74%,
134,NCLH,Norwegian Cruise Line Holdings Ltd.,,19.84 +0.77 (+4.04%),0.77,+4.04%,13.581M,11.535M,8.729B,10.50,-5.50%,
135,YOU,"Clear Secure, Inc.",,27.62 +1.07 (+4.03%),1.07,+4.03%,2.671M,2.18M,3.78B,17.71,37.92%,
136,DAL,"Delta Air Lines, Inc.",,47.75 +1.83 (+3.99%),1.83,+3.99%,9.288M,9.642M,30.845B,8.96,1.19%,
137,HLNE,Hamilton Lane Incorporated,,150.57 +5.83 (+4.03%),5.83,+4.03%,364990,520643,8.583B,27.83,34.07%,
138,RELY,"Remitly Global, Inc.",,20.27 +0.78 (+4.00%),0.78,+4.00%,1.985M,2.195M,4.066B,-,-7.15%,
139,VRNA,Verona Pharma plc,,66.09 +2.54 (+4.00%),2.54,+4.00%,884031,1.441M,8.794B,-,298.93%,
140,BNT,Brookfield Wealth Solutions Ltd.,,54.15 +2.08 (+3.99%),2.08,+3.99%,32259,12020,9.355B,7.77,23.68%,
141,MGY,Magnolia Oil & Gas Corporation,,25.00 +0.96 (+3.99%),0.96,+3.99%,3.097M,2.294M,4.854B,12.89,-3.10%,
142,CASY,"Casey's General Stores, Inc.",,402.23 +15.34 (+3.96%),15.34,+3.96%,350253,292143,14.643B,28.03,22.76%,
143,KNF,Knife River Corporation,,95.55 +3.64 (+3.96%),3.64,+3.96%,236539,458918,5.409B,26.92,18.41%,
144,OVV,Ovintiv Inc.,,42.36 +1.61 (+3.95%),1.61,+3.95%,2.645M,2.915M,11.027B,10.06,-20.83%,
145,SN,"SharkNinja, Inc.",,90.26 +3.43 (+3.95%),3.43,+3.95%,1.279M,1.198M,12.668B,29.02,45.71%,
146,AA,Alcoa Corporation,,35.31 +1.34 (+3.94%),1.34,+3.94%,4.021M,4.856M,9.141B,135.81,8.36%,
147,SPR,"Spirit AeroSystems Holdings, Inc.",,35.12 +1.33 (+3.94%),1.33,+3.94%,1.505M,1.2M,4.118B,-,-3.76%,
148,AVPT,"AvePoint, Inc.",,15.11 +0.57 (+3.92%),0.57,+3.92%,1.63M,1.471M,3.065B,-,81.98%,
149,APO-PA,"Apollo Global Management, Inc.",,76.64 +2.89 (+3.92%),2.89,+3.92%,147959,278563,--,-,14.98%,
150,NU,Nu Holdings Ltd.,,11.95 +0.45 (+3.91%),0.45,+3.91%,47.13M,47.768M,57.439B,29.88,-5.19%,
151,PR,Permian Resources Corporation,,14.09 +0.53 (+3.91%),0.53,+3.91%,8.294M,8.356M,11.321B,9.72,-20.47%,
152,TGNA,TEGNA Inc.,,18.88 +0.71 (+3.91%),0.71,+3.91%,1.199M,1.453M,3.019B,5.35,26.71%,
153,BFH,"Bread Financial Holdings, Inc.",,49.74 +1.87 (+3.91%),1.87,+3.91%,978839,761600,2.442B,8.98,19.20%,
154,GVA,Granite Construction Incorporated,,75.95 +2.85 (+3.90%),2.85,+3.90%,584955,643267,3.299B,28.99,34.47%,
155,AU,AngloGold Ashanti plc,,35.52 +1.33 (+3.89%),1.33,+3.89%,3.3M,2.436M,17.886B,15.24,60.74%,
156,TOST,"Toast, Inc.",,35.10 +1.31 (+3.88%),1.31,+3.88%,4.97M,6.366M,20.182B,1170.00,42.63%,
157,ATMU,Atmus Filtration Technologies Inc.,,38.66 +1.43 (+3.84%),1.43,+3.84%,774339,752825,3.204B,17.41,35.19%,
